Term,Campus,Section,Short Title,Weeks,Day(s),Meth,
2020/WI,AH,CIS-1050,Personal Comp Prod Tools,15,,ONL,
2020/WI,AH,CIS-1050,Personal Comp Prod Tools,15,,ONL,
2020/WI,AH,CIS-1050,Personal Comp Prod Tools,15,,ONL,
2020/WI,AH,CIS-1050,Personal Comp Prod Tools,15,,ONL,
2020/WI,AH,CIS-1050,Personal Comp Prod Tools,15,W,LEC,Afternoon
2020/WI,AH,CIS-1050,Personal Comp Prod Tools,15,W,HYB,Evening
2020/WI,AH,CIS-1060,PC Spreadsheet Concepts,15,T,LEC,Evening
2020/WI,AH,CIS-1070,PC Presentation Concepts,12,M,ONL,
2020/WI,AH,CIS-1200,Intro to Database Systems,15,MW,LEC,Morning
2020/WI,AH,CIS-1200,Intro to Database Systems,15,W,LEC,Afternoon
2020/WI,AH,CIS-1200,Intro to Database Systems,15,M,LEC,Evening
2020/WI,AH,CIS-1200,Intro to Database Systems,15,M,ONL,
2020/WI,AH,CIS-1295,Voice and Data Cabling,15,M,LEC,Evening
2020/WI,AH,CIS-1300,Networking Concepts,15,M,LEC,Morning/Afternoon
2020/WI,AH,CIS-1300,Networking Concepts,15,TTh,LEC,Afternoon
2020/WI,AH,CIS-1300,Networking Concepts,15,T,LEC,Evening
2020/WI,AH,CIS-1300,Networking Concepts,7,MW,LEC,Afternoon
2020/WI,AH,CIS-1305,CCNA I: Intro to Networks,8,MW,LEC,Morning
2020/WI,AH,CIS-1310,CCNA II: Routing/Switching,7,MW,LEC,Morning
2020/WI,AH,CIS-1320,CCNA III: Scaling Networks,7,MW,LEC,Evening
2020/WI,AH,CIS-1330,CCNA IV: Connecting Networks,7,MW,LEC,Evening
2020/WI,AH,CIS-1500,Intro to Programming (Java),15,T,LEC,Evening
2020/WI,AH,CIS-1500,Intro to Programming (Java),15,MW,LEC,Morning
2020/WI,AH,CIS-1500,Intro to Programming (Java),15,Th,LEC,Evening
2020/WI,AH,CIS-1550,Intro to Secure Prog,15,T,LEC,Evening
2020/WI,AH,CIS-1600,Fundamentals of Cybersecurity,15,Th,LEC,Evening
2020/WI,AH,CIS-1600,Fundamentals of Cybersecurity,15,TTh,LEC,Morning
2020/WI,AH,CIS-1600,Fundamentals of Cybersecurity,15,M,LEC,Afternoon
2020/WI,AH,CIS-1600,Fundamentals of Cybersecurity,7,MW,LEC,Evening
2020/WI,AH,CIS-1620,Intro to Cryptography,7,MW,LEC,Afternoon
2020/WI,AH,CIS-1630,,15,TH,LEC,Evening
2020/WI,AH,CIS-2111,Systm Analysis & Design (UML),15,M,LEC,Evening
2020/WI,AH,CIS-2115,Business Analysis/Processes,15,W,LEC,Evening
2020/WI,AH,CIS-2151,Object-Oriented Program (Java),15,TH,LEC,Evening
2020/WI,AH,CIS-2232,Fundamentals of System Support,15,Sa,LEC,Morning
2020/WI,AH,CIS-2313,E-Business and E-Commerce,15,M,LEC,
2020/WI,AH,CIS-2434,Intro to Linux/Unix Admin,15,W,LEC,
2020/WI,AH,CIS-2515,Database Dsgn/Mgt Oracle SQL,15,M,LEC,Afternoon
2020/WI,AH,CIS-2535,Windows Server Administration,15,M,LEC,Evening
2020/WI,AH,CIS-2656,Visual Basic.NET Programming,15,W,LEC,Morning
2020/WI,AH,CIS-2737,Database Administration,15,W,LEC,Evening
2020/WI,AH,CIS-2838,System Security,7,MW,LEC,Evening
2020/WI,AH,CIS-2980,Computer Svc Tech & Tchnq A+,15,T,LEC,Evening
2020/WI,HL,CIS-1050,Personal Comp Prod Tools,12,MW,LEC,Afternoon
2020/WI,HL,CIS-1050,Personal Comp Prod Tools,12,MW,LEC,Morning
2020/WI,HL,CIS-1050,Personal Comp Prod Tools,15,T,LEC,Morning
2020/WI,HL,CIS-1050,Personal Comp Prod Tools,15,T,LEC,Evening
2020/WI,HL,CIS-1050,Personal Comp Prod Tools,15,M,LEC,Evening
2020/WI,HL,CIS-1050,Personal Comp Prod Tools,15,,ONL,
2020/WI,HL,CIS-1050,Personal Comp Prod Tools,15,,ONL,
2020/WI,OR,CIS-1050,Personal Comp Prod Tools,15,M,LEC,Morning
2020/WI,OR,CIS-1200,Intro to Database Systems,15,T,LEC,Afternoon
2020/WI,OR,CIS-1200,Intro to Database Systems,15,T,LEC,Evening
2020/WI,OR,CIS-1200,Intro to Database Systems,15,T,ONL,
2020/WI,OR,CIS-1300,Networking Concepts,15,W,LEC,Afternoon
2020/WI,OR,CIS-1300,Networking Concepts,15,W,LEC,Evening
2020/WI,OR,CIS-1400,Web Design I,15,W,LEC,Afternoon
2020/WI,OR,CIS-1400,Web Design I,15,M,LEC,Afternoon
2020/WI,OR,CIS-1400,Web Design I,15,M,LEC,Evening
2020/WI,OR,CIS-1420,HTML5 Programming,15,TTh,LEC,Afternoon
2020/WI,OR,CIS-1440,JavaScript Program for Web,15,W,LEC,Morning/Afternoon
2020/WI,OR,CIS-1500,Intro to Programming (Java),15,TTh,LEC,Morning
2020/WI,OR,CIS-1500,Intro to Programming (Java),15,T,HYB,Afternoon
2020/WI,OR,CIS-1500,Intro to Programming (Java),15,T,LEC,Evening
2020/WI,OR,CIS-1500,Intro to Programming (Java),15,Th,LEC,Evening
2020/WI,OR,CIS-1500,,15,M,LEC,Evening
2020/WI,OR,CIS-1500,,15,MW,LEC,Morning
20120WI,OR,CIS-1500,,15,W,LEC,Evening
2020/WI,OR,CIS-1512,Software Engineering,15,M,LEC,Evening
2020/WI,OR,CIS-1720,Multimedia Data Management,15,Th,LEC,Evening
2020/WI,OR,CIS-1722,Web Animation,15,T,LEC,Evening
2020/WI,OR,CIS-2151,Object-Oriented Program (Java),15,MW,LEC,Morning
2020/WI,OR,CIS-2232,Fundamentals of System Support,15,W,LEC,Evening
2020/WI,OR,CIS-2252,Object-Oriented Program (C++),15,M,LEC,Evening
2020/WI,OR,CIS-2252,Object-Oriented Program (C++),15,T,LEC,Evening
2020/WI,OR,CIS-2353,Data Structures,15,Th,LEC,Evening
2020/WI,OR,CIS-2353 ,,15,W,LEC,Afternoon
2020/WI,OR,CIS-2454,"Web System Dev (PHP, Java)",15,Th,LEC,Afternoon
2020/WI,OR,CIS-2515,Database Dsgn/Mgt Oracle SQL,15,T,LEC,Evening
2020/WI,OR,CIS-2555,"Web Sys Dev (ASP.NET, C#)",15,M,LEC,Evening
2020/WI,OR,CIS-2656,Visual Basic.NET Programming,15,Th,LEC,Evening
2020/WI,OR,CIS-2757,C# Programming,15,W,LEC,Evening
2020/WI,OR,CIS-2818,Mobile App Dev (Android),15,W,LEC,Evening
2020/WI,OR,CIS-2819,Mobile Application Dev (iOS),15,M,LEC,Evening
2020/WI,OR,CIS-2858,Web Sys Integration & Svc Dev,15,T,LEC,Evening
2020/WI,OR,CIS-2859,Game Software Development,15,T,LEC,Evening
2020/WI,OR,CIS-2862,Game Design,15,Th,LEC,Evening
2020/WI,OR,CIS-2991,Special Project in Software,15,M,LEC,Afternoon
2020/WI,RO,CIS-1000,Computer Literacy,7,T,LEC,Morning
2020/WI,RO,CIS-1000,Computer Literacy,7,T,LEC,Morning
2020/WI,RO,CIS-1050,Personal Comp Prod Tools,15,T,LEC,Morning
2020/WI,RO,CIS-1050,Personal Comp Prod Tools,15,W,LEC,Morning
2020/WI,RO,CIS-1050,Personal Comp Prod Tools,15,Th,LEC,Evening
2020/WI,RO,CIS-1050,Personal Comp Prod Tools,15,M,LEC,Afternoon
2020/WI,RO,CIS-1050,Personal Comp Prod Tools,15,Th,LEC,Evening
2020/WI,SF,CIS-1050,Personal Comp Prod Tools,15,Sa,LEC,Morning
2020/WI,SF,CIS-1050,Personal Comp Prod Tools,15,Th,LEC,Morning
